timestamp	event	role	reason	detail
2026-08-29 20:13:48	connect	dashboard	ws_accept	—
2026-08-29 20:13:56	connect	dashboard	ws_accept	—
2026-08-29 20:14:16	connect	dashboard	ws_accept	—
2026-08-29 20:14:22	connect	dashboard	ws_accept	—
2026-08-29 20:15:06	disconnect	dashboard	ws_close	close_code=1001
2026-08-29 20:15:06	disconnect	dashboard	ws_close	close_code=1001
2026-08-29 20:15:06	disconnect	dashboard	ws_close	close_code=1001
2026-08-29 20:15:06	connect	dashboard	ws_accept	—
2026-08-29 20:15:08	connect	dashboard	ws_accept	—
2026-08-29 20:15:13	disconnect	dashboard	ws_close	close_code=1001
2026-08-29 20:15:13	disconnect	dashboard	ws_close	close_code=1001
2026-08-29 20:16:19	connect	dashboard	ws_accept	—
2026-08-29 20:16:19	disconnect	dashboard	ws_close	close_code=1001
2026-08-29 20:16:20	connect	dashboard	ws_accept	—
2026-08-29 20:17:27	disconnect	dashboard	ws_close	close_code=1001
2026-08-29 20:21:21	connect	dashboard	ws_accept	—
2026-08-29 20:21:23	disconnect	dashboard	ws_close	close_code=1001
2026-08-29 20:22:26	connect	dashboard	ws_accept	—
2026-08-29 20:22:40	connect	dashboard	ws_accept	—
2026-08-29 20:22:41	disconnect	dashboard	ws_close	close_code=1001
2026-08-29 20:22:49	disconnect	dashboard	ws_close	close_code=1001
2026-08-29 20:22:50	connect	dashboard	ws_accept	—
2026-08-29 20:22:52	connect	dashboard	ws_accept	—
2026-08-29 20:22:54	connect	dashboard	ws_accept	—
2026-08-29 20:22:56	connect	dashboard	ws_accept	—
2026-08-29 20:23:34	disconnect	dashboard	ws_close	close_code=1001
2026-08-29 20:23:34	disconnect	dashboard	ws_close	close_code=1001
2026-08-29 20:23:34	disconnect	dashboard	ws_close	close_code=1001
2026-08-29 20:23:51	disconnect	dashboard	ws_close	close_code=1001
2026-08-29 20:23:51	connect	dashboard	ws_accept	—
2026-08-29 20:23:53	connect	dashboard	ws_accept	—
2026-08-29 20:23:56	connect	dashboard	ws_accept	—
2026-08-29 20:24:05	connect	dashboard	ws_accept	—
2026-08-29 20:24:06	disconnect	dashboard	ws_close	close_code=1001
2026-08-29 20:24:07	connect	dashboard	ws_accept	—
2026-08-29 20:24:10	connect	dashboard	ws_accept	—
2026-08-29 20:24:10	connect	dashboard	ws_accept	—
2026-08-29 20:24:12	connect	dashboard	ws_accept	—
2026-08-29 20:24:13	disconnect	dashboard	ws_close	close_code=1001
2026-08-29 20:24:13	connect	dashboard	ws_accept	—
2026-08-29 20:24:15	disconnect	dashboard	ws_close	close_code=1001
2026-08-29 20:24:15	connect	dashboard	ws_accept	—
2026-08-29 20:24:16	disconnect	dashboard	ws_close	close_code=1001
2026-08-29 20:24:16	connect	dashboard	ws_accept	—
2026-08-29 20:24:17	connect	dashboard	ws_accept	—
2026-08-29 20:24:17	disconnect	dashboard	ws_close	close_code=1001
2026-08-29 20:24:18	connect	dashboard	ws_accept	—
2026-08-29 20:24:18	disconnect	dashboard	ws_close	close_code=1001
2026-08-29 20:24:18	connect	dashboard	ws_accept	—
2026-08-29 20:24:18	disconnect	dashboard	ws_close	close_code=1001
2026-08-29 20:24:19	disconnect	dashboard	ws_close	close_code=1001
2026-08-29 20:24:19	connect	dashboard	ws_accept	—
2026-08-29 20:24:21	disconnect	dashboard	ws_close	close_code=1001
2026-08-29 20:24:21	connect	dashboard	ws_accept	—
2026-08-29 20:24:24	disconnect	dashboard	ws_close	close_code=1001
2026-08-29 20:24:24	connect	dashboard	ws_accept	—
2026-08-29 20:24:25	connect	dashboard	ws_accept	—
2026-08-29 20:24:25	disconnect	dashboard	ws_close	close_code=1001
2026-08-29 20:24:26	disconnect	dashboard	ws_close	close_code=1001
2026-08-29 20:24:26	connect	dashboard	ws_accept	—
2026-08-29 20:24:27	disconnect	dashboard	ws_close	close_code=1001
2026-08-29 20:24:27	connect	dashboard	ws_accept	—
2026-08-29 20:24:28	disconnect	dashboard	ws_close	close_code=1001
2026-08-29 20:24:28	connect	dashboard	ws_accept	—
2026-08-29 20:24:29	disconnect	dashboard	ws_close	close_code=1001
2026-08-29 20:24:29	connect	dashboard	ws_accept	—
2026-08-29 20:24:30	disconnect	dashboard	ws_close	close_code=1001
2026-08-29 20:24:30	connect	dashboard	ws_accept	—
2026-08-29 20:24:31	disconnect	dashboard	ws_close	close_code=1001
2026-08-29 20:24:31	connect	dashboard	ws_accept	—
2026-08-29 20:24:49	disconnect	dashboard	ws_close	close_code=1001
2026-08-29 20:24:49	connect	dashboard	ws_accept	—
2026-08-29 20:24:50	disconnect	dashboard	ws_close	close_code=1001
2026-08-29 20:24:50	connect	dashboard	ws_accept	—
2026-08-29 20:24:51	connect	dashboard	ws_accept	—
2026-08-29 20:24:51	disconnect	dashboard	ws_close	close_code=1001
2026-08-29 20:24:52	connect	dashboard	ws_accept	—
2026-08-29 20:24:52	disconnect	dashboard	ws_close	close_code=1001
2026-08-29 20:24:53	disconnect	dashboard	ws_close	close_code=1001
2026-08-29 20:24:53	connect	dashboard	ws_accept	—
2026-08-29 20:24:54	connect	dashboard	ws_accept	—
2026-08-29 20:24:54	disconnect	dashboard	ws_close	close_code=1001
2026-08-29 20:24:55	disconnect	dashboard	ws_close	close_code=1001
2026-08-29 20:24:55	connect	dashboard	ws_accept	—
2026-08-29 20:24:56	disconnect	dashboard	ws_close	close_code=1001
2026-08-29 20:24:56	connect	dashboard	ws_accept	—
2026-08-29 20:24:57	disconnect	dashboard	ws_close	close_code=1001
2026-08-29 20:24:57	connect	dashboard	ws_accept	—
2026-08-29 20:24:58	disconnect	dashboard	ws_close	close_code=1001
2026-08-29 20:24:58	connect	dashboard	ws_accept	—
2026-08-29 20:24:59	disconnect	dashboard	ws_close	close_code=1001
2026-08-29 20:24:59	connect	dashboard	ws_accept	—
2026-08-29 20:25:01	disconnect	dashboard	ws_close	close_code=1001
2026-08-29 20:25:01	connect	dashboard	ws_accept	—
2026-08-29 20:25:06	disconnect	dashboard	ws_close	close_code=1001
2026-08-29 20:25:06	connect	dashboard	ws_accept	—
2026-08-29 20:25:10	disconnect	dashboard	ws_close	close_code=1001
2026-08-29 20:25:10	connect	dashboard	ws_accept	—
2026-08-29 20:25:16	disconnect	dashboard	ws_close	close_code=1001
2026-08-29 20:25:16	connect	dashboard	ws_accept	—
2026-08-29 20:25:18	disconnect	dashboard	ws_close	close_code=1001
2026-08-29 20:25:18	connect	dashboard	ws_accept	—
2026-08-29 20:25:19	disconnect	dashboard	ws_close	close_code=1001
2026-08-29 20:25:19	connect	dashboard	ws_accept	—
2026-08-29 20:25:21	connect	dashboard	ws_accept	—
2026-08-29 20:25:21	disconnect	dashboard	ws_close	close_code=1001
2026-08-29 20:25:26	disconnect	dashboard	ws_close	close_code=1001
2026-08-29 20:25:27	connect	dashboard	ws_accept	—
2026-08-29 20:25:31	connect	dashboard	ws_accept	—
2026-08-29 20:25:31	disconnect	dashboard	ws_close	close_code=1001
2026-08-29 20:25:48	connect	dashboard	ws_accept	—
2026-08-29 20:25:48	disconnect	dashboard	ws_close	close_code=1001
2026-08-29 20:25:50	connect	dashboard	ws_accept	—
2026-08-29 20:25:50	disconnect	dashboard	ws_close	close_code=1001
2026-08-29 20:25:51	disconnect	dashboard	ws_close	close_code=1001
2026-08-29 20:25:51	connect	dashboard	ws_accept	—
2026-08-29 20:26:19	disconnect	dashboard	ws_close	close_code=1001
2026-08-29 20:26:20	connect	dashboard	ws_accept	—
2026-08-29 20:26:21	connect	dashboard	ws_accept	—
2026-08-29 20:26:21	disconnect	dashboard	ws_close	close_code=1001
2026-08-29 20:26:22	disconnect	dashboard	ws_close	close_code=1001
2026-08-29 20:26:22	connect	dashboard	ws_accept	—
2026-08-29 20:26:24	disconnect	dashboard	ws_close	close_code=1001
2026-08-29 20:26:25	connect	dashboard	ws_accept	—
2026-08-29 20:26:25	disconnect	dashboard	ws_close	close_code=1001
2026-08-29 20:26:26	connect	dashboard	ws_accept	—
2026-08-29 20:26:26	disconnect	dashboard	ws_close	close_code=1001
2026-08-29 20:26:33	connect	dashboard	ws_accept	—
2026-08-29 20:26:35	connect	dashboard	ws_accept	—
2026-08-29 20:26:35	disconnect	dashboard	ws_close	close_code=1001
2026-08-29 20:26:36	disconnect	dashboard	ws_close	close_code=1001
2026-08-29 20:26:37	connect	dashboard	ws_accept	—
2026-08-29 20:26:37	disconnect	dashboard	ws_close	close_code=1001
2026-08-29 20:26:39	disconnect	dashboard	ws_close	close_code=1001
2026-08-29 20:26:39	connect	dashboard	ws_accept	—
2026-08-29 20:26:40	connect	dashboard	ws_accept	—
2026-08-29 20:26:43	connect	dashboard	ws_accept	—
2026-08-29 20:26:43	disconnect	dashboard	ws_close	close_code=1001
2026-08-29 20:26:46	connect	dashboard	ws_accept	—
2026-08-29 20:26:46	disconnect	dashboard	ws_close	close_code=1001
2026-08-29 20:26:46	disconnect	dashboard	ws_close	close_code=1001
2026-08-29 20:26:47	connect	dashboard	ws_accept	—
2026-08-29 20:26:47	disconnect	dashboard	ws_close	close_code=1001
2026-08-29 20:26:52	connect	dashboard	ws_accept	—
2026-08-29 20:26:53	connect	dashboard	ws_accept	—
2026-08-29 20:26:53	disconnect	dashboard	ws_close	close_code=1001
2026-08-29 20:27:01	connect	dashboard	ws_accept	—
2026-08-29 20:27:01	disconnect	dashboard	ws_close	close_code=1001
2026-08-29 20:27:05	disconnect	dashboard	ws_close	close_code=1001
2026-08-29 20:27:05	connect	dashboard	ws_accept	—
2026-08-29 20:27:11	disconnect	dashboard	ws_close	close_code=1001
2026-08-29 20:27:11	connect	dashboard	ws_accept	—
2026-08-29 20:27:24	disconnect	dashboard	ws_close	close_code=1001
2026-08-29 20:27:24	connect	dashboard	ws_accept	—
2026-08-29 20:28:33	disconnect	dashboard	ws_close	close_code=1001
2026-08-29 20:28:33	disconnect	dashboard	ws_close	close_code=1001
2026-08-29 20:28:33	disconnect	dashboard	ws_close	close_code=1001
2026-08-29 20:28:33	disconnect	dashboard	ws_close	close_code=1001
2026-08-29 20:28:33	disconnect	dashboard	ws_close	close_code=1001
2026-08-29 20:28:33	disconnect	dashboard	ws_close	close_code=1001
